GREAT_WARS_ENABLED_DESC;Great wars are discovered.;Les Grandes Guerres sont découvertes.;Große Kriege sind bekannt;;Las grandes guerras han sido descubiertas.;;;;;;;;;x
GREAT_WARS_DISABLED_DESC;Great wars are undiscovered yet.;Les Grandes Guerres ne sont pas encore découvertes.;Große Kriege sind unbekannt;;Las grandes guerras estan por descubrirse todavía.;;;;;;;;;x
GREAT_WARS_ENABLE_DESC;Wars can get the status of The Great Wars!;Des guerres peuvent obtenir le statut de Grandes Guerres;Kriege können sich zu einem Großen Krieg entwickeln;;¡Las guerras pueden obtener el estado de grandes guerras!;;;;;;;;;x
GREAT_WAR_NAME;The $ORDER$Great War;La $ORDER$ Grande Guerre;Der $ORDER$Großer Krieg;;La $ORDER$ Gran Guerra;;;;;;;;;x
GW_DISCOVERED_SETUP;When the Great Wars are discovered.;Quand les Grandes Guerres sont découvertes.;Wenn Große Kriege möglich sind;;Cuando las grandes guerras que se descubren.;;;;;;;;;x
GW_DISCOVERED_HEADER;Great Wars discovered!;Découverte des Grandes Guerres !;Große Kriege sind nun möglich;;¡Grandes Guerras descubiertas!;;;;;;;;;x
GW_DISCOVERED_1;Great Wars discovered!;Découverte des Grandes Guerres !;Große Kriege sind nun möglich!;;¡Grandes Guerras descubiertas!;;;;;;;;;x
GW_DISCOVERED_2;From now, each war that includes;Désormais, toute guerre impliquant;Von nun an, wird jeder Krieg, bei dem;;A partir de ahora, cada guerra que incluya;;;;;;;;;x
GW_DISCOVERED_3;at least two great countries;au moins deux grandes Nations;mindestens 2 Großmächte;;por lo menos dos grandes potencias;;;;;;;;;x
GW_DISCOVERED_4;on each side, will get the status of;de chaque côté, obtient le statut de;sich auf jeder Seite befinden, den Status eines;;a ambos bandos, tendrá el estatus de;;;;;;;;;x
GW_DISCOVERED_5;§YThe Great War§!.;§YGrande Guerre§!.;§YGroßen Krieges§ haben!.;;§YLa Gran Guerra§!.;;;;;;;;;x
GW_DISCOVERED_6;*;*;*;;*;;;;;;;;;x
GW_DISCOVERED_BTN1;OK;D'accord;OK;;Aceptar;;;;;;;;;x
GW_DISCOVERED_BTN2;OK;D'accord;OK;;Aceptar;;;;;;;;;x
GW_DISCOVERED_BTN3;Go to;Voir;Gehe zu;;Ir a;;;;;;;;;x
GW_DISCOVERED_LOG;Great Wars discovered;Découverte des Grandes Guerres;Große Kriege sind nun bekannt;;Grandes Guerras descubiertas;;;;;;;;;x
WAR_GAIN_GW_STATUS_SETUP;When our war gains the Great war status.;Quand notre guerre obtient le statut de Grande Guerre.;Wenn unser Krieg den Status eines Großen Krieges erreicht.;;Cuando nuestra guerra gane el estado de Gran Guerra.;;;;;;;;;x
WAR_GAIN_GW_STATUS_HEADER;Great War!;Grande Guerre !;Großer Krieg!;;¡Gran Guerra!;;;;;;;;;x
WAR_GAIN_GW_STATUS_1;$WAR$;$WAR$;$WAR$;;$WAR$;;;;;;;;;x
WAR_GAIN_GW_STATUS_2;becomes;devient;entwickelt sich zu;;se convierte en;;;;;;;;;x
WAR_GAIN_GW_STATUS_3;§YThe Great War§!.;§YGrande Guerre§!.;$Yeinem Großen Krieg!.;;§YLa Gran Guerra§!.;;;;;;;;;x
WAR_GAIN_GW_STATUS_4;*;*;*;;*;;;;;;;;;x
WAR_GAIN_GW_STATUS_5;*;*;*;;*;;;;;;;;;x
WAR_GAIN_GW_STATUS_6;*;*;*;;*;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN1;OK;D'accord;OK;;Aceptar;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN2;OK;D'accord;OK;;Aceptar;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN3;Go to;Voir;Gehe zu;;Ir allí;;;;;;;;;x
WAR_GAIN_GW_STATUS_LOG;$WAR$ becomes §YThe Great War§!;$WAR$ devient une §YGrande Guerre§!.;$WAR$ entwickelt sich zu §Yeinem Großen Krieg§!;;$WAR$  se convierte en §YLa Gran Guerra§!.;;;;;;;;;x
WAR_LOST_GW_STATUS_SETUP;When our war lost the Great war status.;Quand notre guerre perd le statut de Grande Guerre.;Wenn unser Krieg den Status eines Großen Krieges verliert;;Cuando nuestra guerra pierde el estatus de Gran Guerra.;;;;;;;;;x
WAR_LOST_GW_STATUS_HEADER;No longer a Great War!;Ce n'est plus une Grande Guerre !;Kein Großer Krieg mehr!;;¡Ya no es una Gran Guerra!;;;;;;;;;x
WAR_LOST_GW_STATUS_1;$WAR$;$WAR$;$WAR$;;$WAR$;;;;;;;;;x
WAR_LOST_GW_STATUS_2;is no longer;n'est plus;is kein;;ya no es;;;;;;;;;x
WAR_LOST_GW_STATUS_3;The Great War.;une Grande Guerre.;Großer Krieg mehr;;La Gran Guerra.;;;;;;;;;x
WAR_LOST_GW_STATUS_4;*;*;*;;*;;;;;;;;;x
WAR_LOST_GW_STATUS_5;*;*;*;;*;;;;;;;;;x
WAR_LOST_GW_STATUS_6;*;*;*;;*;;;;;;;;;x
WAR_LOST_GW_STATUS_BTN1;OK;D'accord;OK;;Aceptar;;;;;;;;;x
WAR_LOST_GW_STATUS_BTN2;OK;D'accord;OK;;Aceptar;;;;;;;;;x
WAR_LOST_GW_STATUS_BTN3;Go to;Voir;Gehe zu;;Ir allí;;;;;;;;;x
WAR_LOST_GW_STATUS_LOG;$WAR$ is no longer §YThe Great War§!;$WAR$ n'est plus une §YGrande Guerre§!.;$WAR$ ist kein §YGroßer Krieg mehr§!;;$WAR$  ya no es §YLa Gran Guerra§!.;;;;;;;;;x
